Datetime,San Diego,Phoenix,Toronto
01/01/16 0:00,289,288,274
01/01/16 1:00,288,287,274
01/01/16 2:00,282,282,274
01/01/16 3:00,284,283,274
01/01/16 4:00,283,281,274
01/01/16 5:00,282,280,273
01/01/16 6:00,282,278,273
01/01/16 7:00,281,277,273
01/01/16 8:00,280,277,273
01/01/16 9:00,281,276,273
01/01/16 10:00,280,275,273
01/01/16 11:00,280,275,273
01/01/16 12:00,280,274,273
01/01/16 13:00,280,274,273
01/01/16 14:00,279,274,272
01/01/16 15:00,279,274,272
01/01/16 16:00,282,279,272
01/01/16 17:00,282,279,272
01/01/16 18:00,286,282,272
01/01/16 19:00,290,287,272
01/01/16 20:00,290,288,272
01/01/16 21:00,290,289,271
01/01/16 22:00,291,290,271
01/01/16 23:00,289,288,271
02/01/16 0:00,289,291,271
02/01/16 1:00,288,289,271
02/01/16 2:00,286,287,270
02/01/16 3:00,284,286,270
02/01/16 4:00,282,284,270
02/01/16 5:00,281,282,270
02/01/16 6:00,281,282,270
02/01/16 7:00,280,282,270
02/01/16 8:00,280,280,270
02/01/16 9:00,280,280,271
02/01/16 10:00,279,280,271
02/01/16 11:00,279,280,271
02/01/16 12:00,279,279,271
02/01/16 13:00,278,279,271
02/01/16 14:00,278,279,271
02/01/16 15:00,279,280,272
02/01/16 16:00,279,281,272
02/01/16 17:00,282,284,273
02/01/16 18:00,285,287,273
02/01/16 19:00,289,291,273
02/01/16 20:00,289,290,273
02/01/16 21:00,290,292,273
02/01/16 22:00,290,292,273
02/01/16 23:00,289,293,273
03/01/16 0:00,289,292,273
03/01/16 1:00,289,292,273
03/01/16 2:00,283,286,274
03/01/16 3:00,285,287,274
03/01/16 4:00,283,285,274
03/01/16 5:00,282,284,274
03/01/16 6:00,281,283,274
03/01/16 7:00,281,283,274
03/01/16 8:00,280,282,274
03/01/16 9:00,281,283,274
03/01/16 10:00,281,282,274
03/01/16 11:00,280,282,274
03/01/16 12:00,280,282,274
03/01/16 13:00,280,282,274
03/01/16 14:00,276,279,275
03/01/16 15:00,279,281,275
03/01/16 16:00,281,284,275
03/01/16 17:00,283,286,275
03/01/16 18:00,288,291,273
03/01/16 19:00,288,291,272
03/01/16 20:00,289,292,272
03/01/16 21:00,289,293,270
03/01/16 22:00,289,294,270
03/01/16 23:00,288,292,268
04/01/16 0:00,289,293,268
04/01/16 1:00,288,292,266
04/01/16 2:00,287,291,266
04/01/16 3:00,287,291,263
04/01/16 4:00,286,290,263
04/01/16 5:00,283,287,262
04/01/16 6:00,286,289,261
04/01/16 7:00,286,288,261
04/01/16 8:00,286,288,261
04/01/16 9:00,285,288,260
04/01/16 10:00,285,288,260
04/01/16 11:00,285,288,259
04/01/16 12:00,285,288,259
04/01/16 13:00,285,287,259
04/01/16 14:00,285,286,259
04/01/16 15:00,285,287,260
04/01/16 16:00,286,287,261
04/01/16 17:00,286,287,261
04/01/16 18:00,287,288,262
04/01/16 19:00,289,286,262
04/01/16 20:00,289,286,262
04/01/16 21:00,289,285,262
04/01/16 22:00,289,286,261
04/01/16 23:00,289,286,261
05/01/16 0:00,289,286,260
05/01/16 1:00,289,286,260
05/01/16 2:00,285,285,260
05/01/16 3:00,287,285,260
05/01/16 4:00,287,285,259
05/01/16 5:00,286,285,259
05/01/16 6:00,286,284,258
05/01/16 7:00,287,284,258
05/01/16 8:00,287,284,258
05/01/16 9:00,286,284,258
05/01/16 10:00,286,284,258
05/01/16 11:00,286,283,257
05/01/16 12:00,286,283,259
05/01/16 13:00,286,283,259
05/01/16 14:00,286,283,262
05/01/16 15:00,286,284,264
05/01/16 16:00,286,284,266
05/01/16 17:00,287,284,267
05/01/16 18:00,287,286,269
05/01/16 19:00,287,286,269
05/01/16 20:00,287,286,270
05/01/16 21:00,287,286,270
